summary,description,priority_name,issuetype_name,project_key,project_category_name,summary_char_count,summary_word_count,description_char_count,description_word_count,has_description,labels_count,has_assignee,votes_votes,watches_watch_count,created,resolutiondate
Minor fixes in full dev kerberos setup instructions,There is at least one error in metron-deployment/vagrant/Kerberos-setup.md and some other very minor changes for clarity/accuracy.,Major,Bug,METRON,Retired,51,8,130,16,1,0,1,0.0,2.0,2017-04-04 22:04:08,2017-04-20 03:36:06
spark on yarn-alpha with mvn on master branch won't build,"I try to build off master branch using maven to build yarn-alpha but get the following errors. mvn -Dyarn.version=0.23.10 -Dhadoop.version=0.23.10 -Pyarn-alpha clean package -DskipTests ----- [ERROR] /home/tgraves/y-spark-git/tools/src/main/scala/org/apache/spark/tools/GenerateMIMAIgnore.scala:25: object runtime i s not a member of package reflect [ERROR] import scala.reflect.runtime.universe.runtimeMirror [ERROR] ^ [ERROR] /home/tgraves/y-spark-git/tools/src/main/scala/org/apache/spark/tools/GenerateMIMAIgnore.scala:40: not found: value runtimeMirror [ERROR] private val mirror = runtimeMirror(classLoader) [ERROR] ^ [ERROR] /home/tgraves/y-spark-git/tools/src/main/scala/org/apache/spark/tools/GenerateMIMAIgnore.scala:92: object tools is not a member of package scala [ERROR] scala.tools.nsc.io.File("".mima-excludes""). [ERROR] ^ [ERROR] three errors found",Blocker,Bug,SPARK,Unknown,57,10,864,75,1,0,1,0.0,2.0,2014-03-25 08:10:02,2014-03-26 19:35:12
Bug with GString property access,"The following script produces a java.lang.ClassCastException: org.codehaus.groovy.runtime.GStringImpl with 1.5.2. With 1.5.0 it has printed 'peter' {code} class Person { String name } Person person = new Person() String propertyName = 'name' person.""$propertyName"" = 'peter' println person.name {code}",Major,Bug,GROOVY,Groovy,32,5,301,37,1,0,1,0.0,0.0,2008-01-30 07:09:54,2008-01-30 09:28:46
dependency:analyze shows errors,[INFO] Used undeclared dependencies: [INFO] org.codehaus.plexus:plexus-utils:jar:1.0.4:compile [INFO] org.codehaus.plexus:plexus-container-default:jar:1.0-alpha-8:compile [INFO] doxia:doxia-core:jar:1.0-alpha-4:compile [INFO] org.apache.maven:maven-plugin-descriptor:jar:2.0.5:compile [INFO] org.apache.maven.reporting:maven-reporting-api:jar:2.0:compile [INFO] org.apache.maven:maven-artifact:jar:2.0:compile [INFO] doxia:doxia-sink-api:jar:1.0-alpha-4:compile [INFO] Unused declared dependencies: [INFO] org.apache.maven:maven-plugin-tools-beanshell:jar:2.1:runtime [INFO] org.apache.maven:maven-plugin-tools-java:jar:2.1:runtime,Major,Bug,MPLUGIN,Maven,31,3,631,26,1,0,1,0.0,0.0,2007-03-24 08:59:44,2007-03-24 09:12:41
Improve fault tolerance when reading an online schema from a connection,"Using OpenDS 2.2 (latest version at this time), the Schema Editor cannot successfully load the online schema from the connection because of a badly formatted attribute type description returned by OpenDS. This is clearly a bug on OpenDS's side and a JIRA has been opened to address this issue OPENDS-4616 [http://java.net/jira/browse/OPENDS-4616]. Instead of failing badly, Studio should discard this particular attribute type and move to the next one. This would leave the project in a better state, rather than having strictly nothing after the import. Here's the full console report: ============================================================ Error reading schema: attributeTypes = ( 2.16.840.1.113730.3.1.35 NAME 'changelog' DESC 'the distinguished name of the entry which contains the set of entries comprising this server's changelog' EQUALITY distinguishedNameMatch SYNTAX 1.3.6.1.4.1.1466.115.121.1.12 SINGLE-VALUE NO-USER-MODIFICATION USAGE directoryOperation X-ORIGIN 'draft-good-ldap-changelog' ) ERR_04229 Parser failure on attribute type description: ( 2.16.840.1.113730.3.1.35 NAME 'changelog' DESC 'the distinguished name of the entry which contains the set of entries comprising this server's changelog' EQUALITY distinguishedNameMatch SYNTAX 1.3.6.1.4.1.1466.115.121.1.12 SINGLE-VALUE NO-USER-MODIFICATION USAGE directoryOperation X-ORIGIN 'draft-good-ldap-changelog' ) Antlr message: unexpected char: 's' !ENTRY org.apache.directory.studio.common.core 4 4 2011-12-06 17:07:14.767 !MESSAGE null - ERR_04229 Parser failure on attribute type description !SUBENTRY 1 org.apache.directory.studio.common.core 4 4 2011-12-06 17:07:14.767 !MESSAGE java.text.ParseException: ERR_04229 Parser failure on attribute type description: ( 2.16.840.1.113730.3.1.35 NAME 'changelog' DESC 'the distinguished name of the entry which contains the set of entries comprising this server's changelog' EQUALITY distinguishedNameMatch SYNTAX 1.3.6.1.4.1.1466.115.121.1.12 SINGLE-VALUE NO-USER-MODIFICATION USAGE directoryOperation X-ORIGIN 'draft-good-ldap-changelog' ) Antlr message: unexpected char: 's' at org.apache.directory.shared.ldap.model.schema.parsers.AttributeTypeDescriptionSchemaParser.parseAttributeTypeDescription(AttributeTypeDescriptionSchemaParser.java:119) at org.apache.directory.studio.schemaeditor.model.io.GenericSchemaConnector.getSchema(GenericSchemaConnector.java:197) at org.apache.directory.studio.schemaeditor.model.io.GenericSchemaConnector.importSchema(GenericSchemaConnector.java:97) at org.apache.directory.studio.schemaeditor.model.Project.fetchOnlineSchema(Project.java:249) at org.apache.directory.studio.schemaeditor.view.wizards.NewProjectWizard$1.run(NewProjectWizard.java:142) at org.apache.directory.studio.connection.ui.RunnableContextRunner$1.run(RunnableContextRunner.java:123) at org.eclipse.jface.operation.ModalContext$ModalContextThread.run(ModalContext.java:121) !STACK 0 java.text.ParseException: ERR_04229 Parser failure on attribute type description: ( 2.16.840.1.113730.3.1.35 NAME 'changelog' DESC 'the distinguished name of the entry which contains the set of entries comprising this server's changelog' EQUALITY distinguishedNameMatch SYNTAX 1.3.6.1.4.1.1466.115.121.1.12 SINGLE-VALUE NO-USER-MODIFICATION USAGE directoryOperation X-ORIGIN 'draft-good-ldap-changelog' ) Antlr message: unexpected char: 's' at org.apache.directory.shared.ldap.model.schema.parsers.AttributeTypeDescriptionSchemaParser.parseAttributeTypeDescription(AttributeTypeDescriptionSchemaParser.java:119) at org.apache.directory.studio.schemaeditor.model.io.GenericSchemaConnector.getSchema(GenericSchemaConnector.java:197) at org.apache.directory.studio.schemaeditor.model.io.GenericSchemaConnector.importSchema(GenericSchemaConnector.java:97) at org.apache.directory.studio.schemaeditor.model.Project.fetchOnlineSchema(Project.java:249) at org.apache.directory.studio.schemaeditor.view.wizards.NewProjectWizard$1.run(NewProjectWizard.java:142) at org.apache.directory.studio.connection.ui.RunnableContextRunner$1.run(RunnableContextRunner.java:123) at org.eclipse.jface.operation.ModalContext$ModalContextThread.run(ModalContext.java:121) ============================================================",Blocker,Improvement,DIRSTUDIO,Directory,71,11,4225,317,1,0,1,0.0,0.0,2011-12-06 17:59:11,2012-01-09 13:37:01
servicemix common component should be moved before deployable as servicemix-lwcontainer need it. (this was fixed in 3.2 but not on trunk),In root POM file order of deployables and common modules should be reversed otherwise with clean repository build and test of lwcontainer may fail. deployables depends on servicemix-shared which inturn depends on servicemix-common.,Major,Bug,SM,ServiceMix,137,21,231,33,1,0,1,0.0,0.0,2008-12-01 23:58:06,2008-12-10 19:59:09
IMAPMessageReader should call disconnect when closing instead of close,close is in fact an IMAP command that is used to expunge some mails. It keeps the connection open.,Major,New Feature,JAMES,James,70,9,98,19,1,0,0,0.0,1.0,2019-05-28 17:54:10,2019-05-29 10:52:48
create a login log,Create a table to log attempted logins,Minor,New Feature,VCL,Incubator,18,4,38,7,1,0,0,0.0,0.0,2010-01-20 22:19:43,2010-04-14 21:21:03
Refactor table store compactor,"There is currently some room for code optimization on the path of the compact. * It uses the CompactManager, which actually only uses the CompactTask. * It also doesn't use an asynchronous thread to complete the compaction. * There should be FileStoreTable to provide unified table-level compaction.",Major,Improvement,FLINK,Flink,30,4,299,47,1,1,1,0.0,1.0,2022-06-16 13:46:46,2022-06-17 08:36:30
inappbrowser on firefoxos uses deprecated commandproxy,"This line https://github.com/apache/cordova-plugin-inappbrowser/blob/master/src/firefoxos/InAppBrowserProxy.js#L191 requires 'cordova/exec/proxy' which leads to a warning in the console log: ""Please require 'cordova/exec/proxy' instead. The file firefoxos/InAppBrowserProxy.js should be changed to get rid of the warning.",Major,Improvement,CB,Cordova,54,6,321,30,1,1,0,0.0,1.0,2014-12-18 14:51:15,2014-12-18 14:56:14
Big CXF Bundles have truncated Export-Package instruction,"I should've investigated it for 2.7.8 but the issue got out of our attention, creating a dedicated JIRA to keep it tracked. Not a critical-level issue as CXF individual modules are proper bundles",Major,Bug,CXF,CXF,57,7,195,33,1,0,1,0.0,2.0,2013-11-21 13:40:02,2013-12-17 16:43:22
Null Value for Attribute_value in UIInput can have two different meanings,"1. no value is set to this component 2. An submitted value is empty (""""). In both cases the getValue() Method will result the valueBinding Problem: If any validation error occurs on the page, the submitted empty value will be replaced by the valueBinding and can be <> """" Any workarounds ?? regards, Andreas ----- I will close the ticket MYFACES-1056: It's the same background -------",Major,Bug,MYFACES,MyFaces,73,11,384,66,1,0,0,0.0,1.0,2006-03-03 00:05:28,2015-08-28 18:26:34
UnresolvedTableOrView should retain SQL text position,"UnresolvedTableOrView should retain SQL text position. The following commands will be handled: ""DROP TABLE unknown"" ""DESCRIBE TABLE unknown"" ""ANALYZE TABLE unknown COMPUTE STATISTICS"" ""ANALYZE TABLE unknown COMPUTE STATISTICS FOR COLUMNS col"" ""ANALYZE TABLE unknown COMPUTE STATISTICS FOR ALL COLUMNS"" ""SHOW CREATE TABLE unknown"" ""REFRESH TABLE unknown"" ""SHOW COLUMNS FROM unknown"" ""SHOW COLUMNS FROM unknown IN db"" ""ALTER TABLE unknown RENAME TO t"" ""ALTER VIEW unknown RENAME TO v""",Major,Sub-task,SPARK,Unknown,53,6,482,68,1,0,1,0.0,2.0,2021-01-09 18:52:59,2021-01-11 05:29:03
Unused variable in ActiveMQServerImpl.java,The {{journalInfo}} variable declared on [line 3518|https://github.com/apache/activemq-artemis/blob/main/artemis-server/src/main/java/org/apache/activemq/artemis/core/server/impl/ActiveMQServerImpl.java] is not used anywhere.,Trivial,Bug,ARTEMIS,ActiveMQ,42,4,225,11,1,0,1,0.0,1.0,2024-06-07 11:53:37,2024-06-19 19:56:56
Make RDF primitives Serializable,"I always use Jena when I handle RDF data with Apache Spark. However, when I want to store resulting RDD data (ex. RDD[Triple]) in binary format, I can't call RDD.saveAsObjectFile method. It's because RDD.saveAsObjectFile requires java.io.Serializable interface. See the following code. https://github.com/apache/spark/blob/v1.6.0/core/src/main/scala/org/apache/spark/rdd/RDD.scala#L1469 https://github.com/apache/spark/blob/v1.6.0/core/src/main/scala/org/apache/spark/util/Utils.scala#L79-L86 You can see that 1) RDD.saveAsObjectFile calls Util.serialize method 2) Util.serialize method requires the RDD-wrapped object implementing java.io.Serializable interface. For example, if you want to save a RDD[Triple] object, Triple must implements java.io.Serializable. So why not implement java.io.Serializable ? I think it will improve the usability in Apache Spark.",Major,Improvement,JENA,Jena,32,4,862,92,1,0,1,0.0,7.0,2016-09-08 16:32:26,2016-11-13 11:47:29
fcsh doesn't realize an embedded css has been updated,"Steps to reproduce: 1. Start a fcsh session 2. Compile using -defaults-css-files 3. Update external css 4. Recompile Actual Results: fcsh doesn't realize the css has been updated. It displays: ""Nothing has changed since the last compile. Skip..."" Expected Results: Recompile the swf because the css has changed . Workaround (if any): Do a dummie update in any of the as or mxml files to trigger a fresh compilation. Thanks!",Trivial,Bug,FLEX,Flex,53,9,423,70,1,0,1,0.0,0.0,2009-02-23 04:16:49,2009-06-23 15:38:42
[Python] Mention boost-cpp directly in the conda meta.yaml for pyarrow,We seem to also link some boost symbols into pyarrow. This should guarantee through the new `run_exports` pinning mechanism that we only see installs of arrow-cpp and pyarrow with the same `boost-cpp` version. conda-forge PR: https://github.com/conda-forge/pyarrow-feedstock/pull/63,Major,Task,ARROW,Retired,70,10,282,36,1,1,1,0.0,4.0,2019-01-09 15:31:11,2019-01-10 11:46:43
TcpPortProvider Configuration is not propagated correctly to the Evaluators,"When configuring the {{TcpPortProvider}}, its configuration is not propagated to the Evaluators. Instead, the Evaluator opens ports in the default range.",Major,Bug,REEF,Retired,75,9,153,21,1,0,0,0.0,2.0,2015-09-17 00:56:09,2015-09-17 09:08:39
Do STCS in DTCS-windows,"To avoid constant recompaction of files in big ( > max threshold) DTCS windows, we should do STCS of those files. Patch here: https://github.com/krummas/cassandra/commits/marcuse/dtcs_stcs",Normal,Sub-task,CASSANDRA,Cassandra,23,4,188,24,1,1,1,0.0,11.0,2015-09-07 10:46:52,2015-10-28 09:12:24
Notifiers always register on all events,"When adding new Notifier and deselecting events, after saving you are registred for all events. Excample: When you only want to register for Failures and Error, you are always registered to all events including success and warning. This happens only on new registrations, Edit registration works correctly.",Minor,Bug,CONTINUUM,Continuum,39,6,306,47,1,0,0,1.0,1.0,2005-12-16 16:01:47,2007-03-12 12:58:03
CQL deletes (aka DELETE),"CQL specification and implementation for data removal. This corresponds to the following RPC methods: * remove() * batch_mutate() (deleting, not updating) * truncate() (?) My thoughts on the syntax are that it can probably closely mirror a subset of `SELECT': {code:SQL} DELETE (FROM)? <CF> [USING CONSISTENCY.<LVL>] WHERE <EXPRESSION> {code} Optionally, you could support a form that makes the `WHERE' clause optional, statements without the clause would be interpreted as a column family truncation.",Low,Sub-task,CASSANDRA,Cassandra,24,4,501,73,1,0,1,0.0,0.0,2010-11-04 15:43:52,2011-01-20 23:11:49
"spark failed with native memory exhausted , need immediate attention","Native memory allocation (mmap) failed to map 7158628352 bytes for committing reserved memory. # # There is insufficient memory for the Java Runtime Environment to continue. # Native memory allocation (mmap) failed to map 7158628352 bytes for committing reserved memory. # Possible reasons: # The system is out of physical RAM or swap space # In 32 bit mode, the process size limit was hit # Possible solutions: # Reduce memory load on the system # Increase physical memory or swap space # Check if swap backing store is full # Use 64 bit Java on a 64 bit OS # Decrease Java heap size (-Xmx/-Xms) # Decrease number of Java threads # Decrease Java thread stack sizes (-Xss) # Set larger code cache with -XX:ReservedCodeCacheSize= # This output file may be truncated or incomplete.",Major,Bug,SPARK,Unknown,68,10,779,135,1,0,0,0.0,1.0,2017-07-25 13:37:30,2017-07-25 13:42:42
Double click mode: editing an action causes it to be flagged as changed,"When the ""Use double-click option on canvas"" is enabled we experience an incorrect behavior any time we make any change to any of the workflow's actions. As soon as we open any of the workflows' actions, the workflow is immediately marked as changed (workflow's tab name formatted in bold chars and save button enabled in the toolbar) and remains in that state even if we don't apply any change to any action in the workflow.",Major,Bug,HOP,Retired,71,13,425,75,1,0,1,0.0,1.0,2021-09-15 10:59:18,2021-09-15 15:38:50
Remove direct dependency of Numpy from Histogram,,Major,Sub-task,SPARK,Unknown,48,7,0,0,0,1,1,0.0,1.0,2024-10-31 12:50:27,2024-10-31 20:49:08
accuracy result in naive-bayes should be a scalar,"Naiver-bayes export accuracy string as result: acc_str = ""Training Accuracy (%): "" + acc print(acc_str) write(acc_str, $accuracy) same for Naiver-bayes-predict acc_str = ""Accuracy (%): "" + acc print(acc_str) if(cmdLine_accuracy != "" "") write(acc_str, cmdLine_accuracy) I thought maybe it's issues here.",Minor,Bug,SYSTEMDS,SystemDS,49,8,302,40,1,0,1,0.0,2.0,2016-04-22 09:41:55,2016-04-23 00:59:06
Implement a procedure to convert RS from S to DA,,Major,Sub-task,HBASE,Hadoop,48,10,0,0,0,1,1,0.0,4.0,2017-10-24 10:42:20,2018-04-10 12:01:29
Eclipse .classpath invalid for local libraries,See email thread http://mail-archives.apache.org/mod_mbox/buildr-users/200909.mbox/%3CE83D37A2-3E51-4084-9FB5-078D9C24DC6E@gmail.com%3E,Minor,Bug,BUILDR,Retired,46,6,135,4,1,0,1,0.0,0.0,2009-09-15 00:21:04,2009-09-15 00:23:00
JavaScript GLV: Use heartbeat to prevent connection timeout,We should implement a client ping that prevents connection timeout when possible.,Major,Improvement,TINKERPOP,Unknown,59,8,81,12,1,0,0,0.0,2.0,2018-02-14 15:33:00,2018-12-24 11:53:56
Files created by redundant tasks that have been killed are taken into consideration,"Hadoop starts redundant tasks (mappers, by default) if it some particular mappers are taking too long to be executed. When one of the redundant tasks finishes, the others are killed. Killed tasks may generate output files (usually empty) and Hive is considering them as part of the job output. In my case, I'm profiling one of the mappers in an INSERT OVERWRITE TABLE ... SELECT (map-only) query, and the extra time added by the profiler makes hadoop start a second mapper for the same part of the input. When one of these redundant mappers finishes, the other is killed, and /tmp/hive-xxxx/xxxxxxxxx.10000.insclause-0/ will have the following files: _tmp.attempt_XX....XX_XXXX_m_000000_0 attempt_XX....XX_XXXX_m_000000_0 attempt_XX....XX_XXXX_m_000000_1 attempt_XX....XX_XXXX_m_000000_2 ... The first file is empty, but Hive considers it as part of the generated output and tries to load it in the destination table, giving the following error message: Loading data to table output_table partition {p=p1} Failed with exception Cannot load text files into a table stored as SequenceFile. FAILED: Execution Error, return code 1 from org.apache.hadoop.hive.ql.exec.MoveTask I'm not sure if the files generated by killed tasks will always be empty. If not, this bug might render the data inconsistent.",Minor,Bug,HIVE,Hadoop,83,13,1298,191,1,0,0,0.0,1.0,2009-02-06 11:06:38,2009-02-07 01:22:43
Experiments and notebooks are still alive after submarine is deleted,"After the submarine is down, we can find that the experiment and notebook pods are still alive in the cluster. Reproduce steps: # create submarine # access to the workbench by port forwarding # add notebook or experiment from the workbench # delete submarine # we can find out that notebooks, tfjobs, pytorchjobs and relating components are still alive. To fix the bug, we can maybe add onwerReferences to the created resources. Reference: * ownerReference: *[https://kubernetes.io/docs/concepts/overview/working-with-objects/owners-dependents/]*",Major,Bug,SUBMARINE,Retired,68,10,546,76,1,1,1,0.0,1.0,2021-07-30 09:21:44,2021-08-18 07:22:17
camel-parent - Cleanup cruft and some dependencies that are only used internally for testing,"We have to much junk and stuff in parent/pom.xml for 3rd party dependencies. Some are only util dependencies used in a few components for some special testing etc. parent is not a dumping place. Some dependencies like jackson, netty, loggers, and the likes are good to have.",Minor,Dependency upgrade,CAMEL,Camel,92,14,274,47,1,0,0,0.0,1.0,2023-10-20 13:58:43,2024-06-16 09:57:29
Could not decompress data. Buffer length is too small.,tez 使用snappy压缩方式时，会报错缓冲区太小： java.io.IOException: java.lang.InternalError: Could not decompress data. Buffer length is too small.java.io.IOException: java.lang.InternalError: Could not decompress data. Buffer length is too small. at org.apache.tez.runtime.library.common.shuffle.ShuffleUtils.shuffleToMemory(ShuffleUtils.java:137) at org.apache.tez.runtime.library.common.shuffle.orderedgrouped.FetcherOrderedGrouped.copyMapOutput(FetcherOrderedGrouped.java:550) at org.apache.tez.runtime.library.common.shuffle.orderedgrouped.FetcherOrderedGrouped.copyFromHost(FetcherOrderedGrouped.java:283) at org.apache.tez.runtime.library.common.shuffle.orderedgrouped.FetcherOrderedGrouped.fetchNext(FetcherOrderedGrouped.java:182) at org.apache.tez.runtime.library.common.shuffle.orderedgrouped.FetcherOrderedGrouped.callInternal(FetcherOrderedGrouped.java:194) at org.apache.tez.runtime.library.common.shuffle.orderedgrouped.FetcherOrderedGrouped.callInternal(FetcherOrderedGrouped.java:57) at org.apache.tez.common.CallableWithNdc.call(CallableWithNdc.java:36) at com.google.common.util.concurrent.TrustedListenableFutureTask$TrustedFutureInterruptibleTask.runInterruptibly(TrustedListenableFutureTask.java:111) at com.google.common.util.concurrent.InterruptibleTask.run(InterruptibleTask.java:58) at com.google.common.util.concurrent.TrustedListenableFutureTask.run(TrustedListenableFutureTask.java:75) at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624) at java.lang.Thread.run(Thread.java:748)Caused by: java.lang.InternalError: Could not decompress data. Buffer length is too small. at org.apache.hadoop.io.compress.snappy.SnappyDecompressor.decompressBytesDirect(Native Method) at org.apache.hadoop.io.compress.snappy.SnappyDecompressor.decompress(SnappyDecompressor.java:238) at org.apache.hadoop.io.compress.BlockDecompressorStream.decompress(BlockDecompressorStream.java:88) at org.apache.hadoop.io.compress.DecompressorStream.read(DecompressorStream.java:105) at org.apache.hadoop.io.IOUtils.readFully(IOUtils.java:210) at org.apache.tez.runtime.library.common.sort.impl.IFile$Reader.readToMemory(IFile.java:833) at org.apache.tez.runtime.library.common.shuffle.ShuffleUtils.shuffleToMemory(ShuffleUtils.java:121) ... 12 more,Major,Bug,TEZ,Tez,54,9,2340,78,1,0,1,0.0,6.0,2021-02-20 09:07:44,2021-06-25 12:02:37
[DataFusion] Split expressions.rs,It is now 3k LOC that are largely independent.,Major,Improvement,ARROW,Retired,33,3,46,9,1,1,1,0.0,2.0,2021-01-25 05:21:36,2021-01-30 07:20:02
Add task_%STATUS%_%JOB% stat,"It would be helpful to keep counters of certain job task statuses. Currently, we only expose {{task_store_%STATUS%}} and {{task_store_rack}} stats. Having a bit more visibility into certain terminal states (e.g. LOST, FAILED) would ease up troubleshooting by job owners and platform operators.",Major,Task,AURORA,Aurora,28,3,293,42,1,1,1,0.0,2.0,2014-09-04 21:52:19,2014-09-06 00:18:09
aggregating plugins in submodules of the reactor return all projects causing a chicken/egg issue,"eg, assembly:attached when this is put in maven-core, and a build is run from the root project with a clean repo, it fails, as the original project sorter doesn't consider the dependencies, building plugin-tools after maven-core. However, hitting the aggregator when building maven-core then tries to resolve all of the projects as dependencies.",Major,Bug,MNG,Maven,96,14,345,53,1,0,1,13.0,14.0,2006-05-05 12:40:26,2007-10-28 21:28:31
[AMQP 1.0 JMS Client] Decoding destinations with no attributes can lead to NullPointerException,"Decoding destinations with no attributes can lead to NullPointerException {code}Exception in thread ""Thread-5"" java.lang.NullPointerException at org.apache.qpid.amqp_1_0.jms.impl.MessageImpl.join(MessageImpl.java:1341) at org.apache.qpid.amqp_1_0.jms.impl.MessageImpl.setJMSDestination(MessageImpl.java:231) at org.apache.activemq.transport.amqp.JmsClientRequestResponseTest.onMessage(JmsClientRequestResponseTest.java:226) at org.apache.qpid.amqp_1_0.jms.impl.SessionImpl$Dispatcher.run(SessionImpl.java:910) at java.lang.Thread.run(Thread.java:722){code} This can happen when using replyTo destination from the broker that didn't set attributes. We need to add extra check if attributes exists.",Major,Bug,QPID,Qpid,95,13,696,47,1,0,1,1.0,4.0,2014-05-29 16:01:34,2014-06-24 15:35:49
TestPriorityQueue failures,"Elastic CI found a couple of failures in TestPriorityQueue: {code} java.lang.AssertionError at __randomizedtesting.SeedInfo.seed([7116E1C3DFA51E99:7507110B3E9E9A3]:0) at org.apache.lucene.util.TestPriorityQueue$IntegerQueue.lessThan(TestPriorityQueue.java:36) at org.apache.lucene.util.TestPriorityQueue$IntegerQueue.lessThan(TestPriorityQueue.java:28) at org.apache.lucene.util.PriorityQueue.upHeap(PriorityQueue.java:264) at org.apache.lucene.util.PriorityQueue.add(PriorityQueue.java:141) at org.apache.lucene.util.TestPriorityQueue.testIteratorRandom(TestPriorityQueue.java:241) {code} It can be reproduced with the following seed: -Dtests.seed=7116E1C3DFA51E99 It is due to https://issues.apache.org/jira/browse/LUCENE-8345 which removed the deprecated call to ""new Integer"" despite the fact that the queue in the tests (IntegerQueue#lessThan) does not allow to reuse Integers.",Major,Test,LUCENE,Lucene,26,2,882,62,1,0,0,0.0,3.0,2018-07-16 14:08:55,2018-07-20 10:16:39
Provider rule of consumer can not be removed,,Major,Bug,SCB,Incubator,44,8,0,0,0,0,1,0.0,2.0,2018-08-20 16:21:10,2018-08-20 16:50:57
Failed to recreate the table which has bloomfilter on it with same table name but different bloom index,"Steps to reproduce: ``` create table xu_t11(id int,name string,sal float) stored by 'carbondata' tblproperties('sort_columns'='id') create datamap xu_dm_t1_new1 on table xu_t11 using 'bloomfilter' dmproperties('index_columns'='id') insert into xu_t11 select 1,'m',122.33 // id.bloomindex is generated drop table if exists xu_t11 // recreate table with same datamap but with different index column create table xu_t11(id int,name string,sal float) stored by 'carbondata' tblproperties('sort_columns'='id') create datamap xu_dm_t1_new1 on table xu_t11 using 'bloomfilter' dmproperties('index_columns'='sal') insert into xu_t11 select 1,'m',122.33 // Expecte sal.bloomindex to be generated, but actually id.bloomindex is generated. ``` This will not be reproduced in testcase, can only be generated in cluster (with multiple executors).",Major,Sub-task,CARBONDATA,CarbonData,103,18,833,100,1,0,1,0.0,0.0,2018-07-11 09:28:21,2018-07-13 12:15:13
LUB of Type<T extends Something> and Type<? extends Something>,"Follow up to GROOVY-10756. Blending wildcard and unresolved parameterized type is incomplete. Consider the following: {code:groovy} interface Handle { int getCount() } class HandleContainer<H extends Handle> { H handle } interface Input { HandleContainer<? extends Handle> getResult(key) } interface State { def <X extends Handle> HandleContainer<X> getResult(key) } void test(Input input, State state) { def container = state.getResult('k') ?: input.getResult('k') // HERE: HandleContainer<# extends Handle> and HandleContainer<? extends Handle> Handle handle = container.handle Integer count = handle.count assert count == 1 } Handle h = {->1} def c = new HandleContainer(handle: h) test({k->c} as Input, {k->c} as State) {code}",Major,Bug,GROOVY,Groovy,62,9,730,99,1,0,1,0.0,1.0,2023-03-17 17:34:25,2023-03-17 17:45:02
"cqlsh shouldn't display ""null"" for empty values","For historical reason (and compatibility with thrift), all type support an empty value, even type like int for which it doesn't really make sense (see CASSANDRA-5674 too on that subject). If you input such an empty value for a type like int, cqlsh will display it as null: {noformat} cqlsh:ks> CREATE TABLE test (k text PRIMARY KEY, v int); cqlsh:ks> INSERT INTO test(k, v) VALUES ('someKey', blobAsInt(0x)); cqlsh:ks> SELECT * FROM test; k | v ---------+------ someKey | null {noformat} But that's not correct, it suggests {{v}} has no value but that's not true, it has a value, it's just an empty one. Now, one may argue support empty values for a type like int is broken, and I would agree with that. But thrift allows it so we probably need to preserve that behavior for compatibility sake. And I guess the need to use blobAsInt at least make it clear that it's kind of a hack. That being said, cqlsh should not display null as this is confusing. Instead I'd suggest either displaying nothing (that's how an empty string is displayed after all), or to just go with some random explicit syntax like say ""[empty value]""",Low,Bug,CASSANDRA,Cassandra,47,7,1121,197,1,1,1,0.0,2.0,2013-06-20 12:36:18,2013-06-27 00:29:08
Docs for upgrade to 2.8.0 differ from template project (formatting),"When you generate a project with the ""create"" script, the linker flags include: {noformat} -force_load ${TARGET_BUILD_DIR}/libCordova.a {noformat} But according to the docs (http://cordova.apache.org/docs/en/2.9.0/guide_upgrading_ios_index.md.html#Upgrading%20Cordova%20iOS), you should add these flags (without the underscores): {noformat} -forceload ${TARGETBUILDDIR}/libCordova.a {noformat} Also, the flag you're replacing is ""-all_load"" in the template, and ""-allload"" in the docs.",Minor,Bug,CB,Cordova,67,10,485,50,1,0,1,0.0,3.0,2013-06-28 00:16:59,2013-06-28 00:41:33
Configurable impresonnation,"h3. What is impersonnation Hello I'm Bob, connect me as Alice. Use cases: - 1. Migration: migration user impersonnate existing user to migrate in/out emails of the user - 2. Assistance: An admin impersonate a user to assist them with one problem... - 3. Delegation: The secretary impersonnate her boss mails. h3. What exists today in James Impersonation exists for IMAP AUTHENTICATE PLAIN. Impersonation relies on the 'Authorizator' interface. A simple implementation of it is provided: We then verify this the user performing the impersonation is an admin account defined in the configuration. This makes it suitable for simple use cases defined in 1 and 2 (where multi-tenancy is not an issue) However, this is unsuitable for more advanced use cases. h3. Proposal Provide a configuration option to enable fine-grained authorization. If enabled, a storage API for delegation will be enabled (stores user X have the right to impersonate to user Y). We can then have a webadmin API to manage this, as well as the wiring needed in the AUthorizator.",Major,Improvement,JAMES,James,27,2,1046,171,1,0,0,0.0,1.0,2022-04-27 06:06:05,2022-06-03 10:43:18
